control_id,pillar,control_name,legal_duty,current_score_0_5,target_score,evidence_reference,legal_item_passed,gap_below_3,priority,root_cause,fix_action,owner,due_date,recheck_date
GOV-01,0 Governance,Framework approved and reviewed,Yes (board approval),,3,,,,,,,,
GOV-02,0 Governance,Roles and accountability,No,,3,,,,,,,,
GOV-03,0 Governance,Board oversight,No,,3,,,,,,,,
GOV-04,0 Governance,Board training,No,,3,,,,,,,,
GOV-05,0 Governance,Resilience budget,No,,3,,,,,,,,
GOV-06,0 Governance,Proportionality assessed,No,,3,,,,,,,,
GOV-07,0 Governance,Three lines and audit,No,,3,,,,,,,,
RM-01,1 ICT risk,Resilience strategy,No,,3,,,,,,,,
RM-02,1 ICT risk,Asset and dependency inventory,No,,3,,,,,,,,
RM-03,1 ICT risk,Risk assessment,No,,3,,,,,,,,
RM-04,1 ICT risk,Information security controls,No,,3,,,,,,,,
RM-05,1 ICT risk,Detection,No,,3,,,,,,,,
RM-06,1 ICT risk,Continuity and recovery,No,,3,,,,,,,,
RM-07,1 ICT risk,Backups,No,,3,,,,,,,,
RM-08,1 ICT risk,Learning,No,,3,,,,,,,,
RM-09,1 ICT risk,Training,No,,3,,,,,,,,
RM-10,1 ICT risk,Framework review,No,,3,,,,,,,,
INC-01,2 Incident,Incident process,No,,3,,,,,,,,
INC-02,2 Incident,Classification (RTS thresholds),Yes (thresholds),,3,,,,,,,,
INC-03,2 Incident,Roles and escalation,No,,3,,,,,,,,
INC-04,2 Incident,Reporting timeliness,Yes (deadlines),,4,,,,,,,,
INC-05,2 Incident,Reporting content,Yes (ITS fields),,3,,,,,,,,
INC-06,2 Incident,Client notification,Yes,,3,,,,,,,,
INC-07,2 Incident,Threat notification,No,,3,,,,,,,,
INC-08,2 Incident,Lessons learned,No,,3,,,,,,,,
INC-09,2 Incident,Payment incidents,Yes (if applicable),,3,,,,,,,,
TST-01,3 Testing,Testing programme,No,,3,,,,,,,,
TST-02,3 Testing,Critical systems tested,Yes,,3,,,,,,,,
TST-03,3 Testing,Mix of methods,No,,3,,,,,,,,
TST-04,3 Testing,Tester independence,No,,3,,,,,,,,
TST-05,3 Testing,Findings fixed,No,,3,,,,,,,,
TST-06,3 Testing,TLPT if named,Yes (if in scope),,3,,,,,,,,
TST-07,3 Testing,Third parties in TLPT,No,,3,,,,,,,,
TST-08,3 Testing,TLPT method and attestation,Yes (if in scope),,3,,,,,,,,
TPP-01,4 Third-party,Strategy and policy,No,,3,,,,,,,,
TPP-02,4 Third-party,Register of information,Yes (completeness),,3,,,,,,,,
TPP-03,4 Third-party,Due diligence,No,,3,,,,,,,,
TPP-04,4 Third-party,Contract terms,Yes (required+enhanced),,3,,,,,,,,
TPP-05,4 Third-party,Audit rights,No,,3,,,,,,,,
TPP-06,4 Third-party,Concentration and sub-outsourcing,No,,3,,,,,,,,
TPP-07,4 Third-party,Exit strategies,No,,3,,,,,,,,
TPP-08,4 Third-party,CTPP tracking,No,,3,,,,,,,,
TPP-09,4 Third-party,Regulatory reporting of register,Yes (yearly),,3,,,,,,,,
ISH-01,5 Info sharing,Participation decision,No,,3,,,,,,,,
ISH-02,5 Info sharing,Trusted communities,No,,3,,,,,,,,
ISH-03,5 Info sharing,Safeguards,No,,3,,,,,,,,
ISH-04,5 Info sharing,Regulator notified,Yes (if participating),,3,,,,,,,,
ISH-05,5 Info sharing,Intelligence used,No,,3,,,,,,,,
